Beach Name,Battery Life,Water Temperature,Turbidity,Transducer Depth,Wave Height,Wave Period,Measurement Timestamp,Measurement ID,Measurement Timestamp Label
Calumet Beach,10.8,18.6,6.32,,0.298,5,09/12/2015 05:00:00 AM,CalumetBeach201509120500,09/12/2015 5:00 AM
Rainbow Beach,11.6,18.7,22.89,,0.604,6,09/12/2015 05:00:00 AM,RainbowBeach201509120500,09/12/2015 5:00 AM
63rd Street Beach,5.7,19,15.66,,-99999.992,-100000,09/12/2015 05:00:00 AM,63rdStreetBeach201509120500,09/12/2015 5:00 AM
Calumet Beach,10.8,18.6,3.69,,0.244,4,09/12/2015 04:00:00 AM,CalumetBeach201509120400,09/12/2015 4:00 AM
63rd Street Beach,5.4,19.3,8.56,,-99999.992,-100000,09/12/2015 04:00:00 AM,63rdStreetBeach201509120400,09/12/2015 4:00 AM
Rainbow Beach,11.6,18.9,21.2,,0.587,6,09/12/2015 04:00:00 AM,RainbowBeach201509120400,09/12/2015 4:00 AM
Rainbow Beach,11.6,19,15.55,,0.566,7,09/12/2015 03:00:00 AM,RainbowBeach201509120300,09/12/2015 3:00 AM
Calumet Beach,10.8,18.8,4.24,,0.24,6,09/12/2015 03:00:00 AM,CalumetBeach201509120300,09/12/2015 3:00 AM
Calumet Beach,10.8,18.8,4.18,,0.244,7,09/12/2015 02:00:00 AM,CalumetBeach201509120200,09/12/2015 2:00 AM
Rainbow Beach,11.6,19,21.39,,0.623,7,09/12/2015 02:00:00 AM,RainbowBeach201509120200,09/12/2015 2:00 AM
63rd Street Beach,5.5,19.4,9.94,,-99999.992,-100000,09/12/2015 02:00:00 AM,63rdStreetBeach201509120200,09/12/2015 2:00 AM
63rd Street Beach,5.4,19.2,14.1,,-99999.992,-100000,09/12/2015 01:00:00 AM,63rdStreetBeach201509120100,09/12/2015 1:00 AM
Calumet Beach,10.8,18.7,4.18,,0.271,6,09/12/2015 01:00:00 AM,CalumetBeach201509120100,09/12/2015 1:00 AM
Calumet Beach,10.8,18.6,4.3,,0.275,6,09/12/2015 12:00:00 AM,CalumetBeach201509122400,09/12/2015 12:00 AM
63rd Street Beach,5.4,19.3,9.47,,-99999.992,-100000,09/12/2015 12:00:00 AM,63rdStreetBeach201509122400,09/12/2015 12:00 AM
63rd Street Beach,5.5,19.1,9.56,,-99999.992,-100000,09/11/2015 11:00:00 PM,63rdStreetBeach201509112300,09/11/2015 11:00 PM
Calumet Beach,10.8,18.7,4.59,,0.274,6,09/11/2015 11:00:00 PM,CalumetBeach201509112300,09/11/2015 11:00 PM
Rainbow Beach,11.6,19.3,22.42,,0.584,7,09/11/2015 11:00:00 PM,RainbowBeach201509112300,09/11/2015 11:00 PM
63rd Street Beach,5.3,19.2,14.59,,-99999.992,-100000,09/11/2015 10:00:00 PM,63rdStreetBeach201509112200,09/11/2015 10:00 PM
Calumet Beach,10.8,18.9,8.64,,0.283,5,09/11/2015 10:00:00 PM,CalumetBeach201509112200,09/11/2015 10:00 PM
Rainbow Beach,11.6,19.4,24.64,,0.604,6,09/11/2015 10:00:00 PM,RainbowBeach201509112200,09/11/2015 10:00 PM
63rd Street Beach,5.6,19.5,8.81,,-99999.992,-100000,09/11/2015 09:00:00 PM,63rdStreetBeach201509112100,09/11/2015 9:00 PM
Calumet Beach,10.8,19.1,4.23,,0.29,5,09/11/2015 09:00:00 PM,CalumetBeach201509112100,09/11/2015 9:00 PM
Rainbow Beach,11.6,19.5,27.08,,0.631,7,09/11/2015 09:00:00 PM,RainbowBeach201509112100,09/11/2015 9:00 PM
Calumet Beach,10.8,19.3,7.32,,0.259,6,09/11/2015 08:00:00 PM,CalumetBeach201509112000,09/11/2015 8:00 PM
Rainbow Beach,11.6,19.6,136.26,,0.558,6,09/11/2015 08:00:00 PM,RainbowBeach201509112000,09/11/2015 8:00 PM
Rainbow Beach,11.6,19.7,15.38,,0.599,5,09/11/2015 07:00:00 PM,RainbowBeach201509111900,09/11/2015 7:00 PM
Calumet Beach,10.8,19.3,4.34,,0.264,5,09/11/2015 07:00:00 PM,CalumetBeach201509111900,09/11/2015 7:00 PM
63rd Street Beach,10.6,20,5.83,,-99999.992,-100000,09/11/2015 07:00:00 PM,63rdStreetBeach201509111900,09/11/2015 7:00 PM
Rainbow Beach,11.6,19.8,19.2,,0.603,6,09/11/2015 06:00:00 PM,RainbowBeach201509111800,09/11/2015 6:00 PM
Calumet Beach,10.8,19.3,2.65,,0.244,5,09/11/2015 06:00:00 PM,CalumetBeach201509111800,09/11/2015 6:00 PM
Calumet Beach,10.8,19.4,1.63,,0.268,4,09/11/2015 05:00:00 PM,CalumetBeach201509111700,09/11/2015 5:00 PM
Rainbow Beach,11.6,19.9,96.84,,0.59,6,09/11/2015 05:00:00 PM,RainbowBeach201509111700,09/11/2015 5:00 PM
63rd Street Beach,10.7,20.3,7.12,,0.484,6,09/11/2015 05:00:00 PM,63rdStreetBeach201509111700,09/11/2015 5:00 PM
Rainbow Beach,11.6,20,17.53,,0.565,6,09/11/2015 04:00:00 PM,RainbowBeach201509111600,09/11/2015 4:00 PM
Calumet Beach,10.8,19.5,1.24,,0.262,5,09/11/2015 04:00:00 PM,CalumetBeach201509111600,09/11/2015 4:00 PM
Rainbow Beach,11.6,19.8,14.06,,0.541,5,09/11/2015 03:00:00 PM,RainbowBeach201509111500,09/11/2015 3:00 PM
Calumet Beach,10.8,19.4,1.24,,0.237,4,09/11/2015 03:00:00 PM,CalumetBeach201509111500,09/11/2015 3:00 PM
63rd Street Beach,10.7,20.3,4.29,,0.397,5,09/11/2015 03:00:00 PM,63rdStreetBeach201509111500,09/11/2015 3:00 PM
63rd Street Beach,10.7,20.2,1.99,,0.417,5,09/11/2015 02:00:00 PM,63rdStreetBeach201509111400,09/11/2015 2:00 PM
Calumet Beach,10.8,19.2,1.07,,0.238,3,09/11/2015 02:00:00 PM,CalumetBeach201509111400,09/11/2015 2:00 PM
Rainbow Beach,11.6,19.5,17.11,,0.511,4,09/11/2015 02:00:00 PM,RainbowBeach201509111400,09/11/2015 2:00 PM
63rd Street Beach,10.7,20.2,1.4,,0.254,4,09/11/2015 01:00:00 PM,63rdStreetBeach201509111300,09/11/2015 1:00 PM
